run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,dice_test,dice_train,dice_val,hd95_test,hd95_train,hd95_val,loss_test,loss_train,loss_val
small_DiceCELoss_lr0.0001_wd0.0_bs2,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,0.0,2,0.029956117272377014,0.03191892057657242,0.026276594027876854,43.31462097167969,51.479164123535156,40.96692657470703,1.0216631317138671,1.039220853149891,1.0281533479690552
small_DiceCELoss_lr0.0001_wd0.0_bs5,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,0.0,5,0.03543040156364441,0.025927428156137466,0.03270108625292778,131.21080017089844,132.05880737304688,129.57769775390625,1.493823081254959,1.5261423774063587,1.4995576441287994
small_DiceCELoss_lr0.0001_wd1e-05_bs1,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,1e-05,1,0.12438331544399261,0.14221104979515076,0.09824706614017487,30.518545150756836,36.20830535888672,29.7153263092041,0.8004117298126221,0.8081749271601438,0.808480603992939
small_DiceCELoss_lr0.0001_wd1e-05_bs2,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,1e-05,2,0.14566496014595032,0.13234038650989532,0.13500352203845978,35.331600189208984,42.84932327270508,37.44658279418945,1.0286959767341615,1.0459005177021026,1.0343802750110627
small_DiceCELoss_lr0.0001_wd1e-05_bs5,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0001,1e-05,5,0.09002386033535004,0.09182063490152359,0.07849357277154922,73.79027557373047,76.19618225097656,71.9737319946289,1.4864144146442413,1.5039113946259022,1.4905437529087067
small_DiceCELoss_lr0.0005_wd0.0001_bs1,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0001,1,0.416840523481369,0.4171367585659027,0.38659948110580444,23.502361297607422,29.619237899780273,24.380329132080078,0.5195460149645805,0.5114319790154696,0.5379830703139306
small_DiceCELoss_lr0.0005_wd0.0001_bs2,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0001,2,0.19354507327079773,0.20694677531719208,0.20865702629089355,32.412376403808594,37.53851318359375,26.6118106842041,0.6237802398204804,0.6186095170676709,0.6294464826583862
small_DiceCELoss_lr0.0005_wd0.0001_bs4,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0001,4,0.03972240909934044,0.03778456896543503,0.03512655571103096,130.13201904296875,128.44821166992188,128.75390625,1.7848122303302472,1.8064391613006592,1.7875993609428407
small_DiceCELoss_lr0.0005_wd0.0001_bs5,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0001,5,0.026782847940921783,0.043529145419597626,0.01930520497262478,26.311908721923828,27.866106033325195,25.171218872070312,0.837576687335968,0.8472936693578959,0.8487783893942833
small_DiceCELoss_lr0.0005_wd0.0_bs1,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0,1,0.3923247158527374,0.4149860441684723,0.3821426033973694,27.553695678710938,28.74037742614746,26.662342071533203,0.5391074204444886,0.5150936279445887,0.5436798885464669
small_DiceCELoss_lr0.0005_wd0.0_bs2,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0,2,0.1972084939479828,0.22020921111106873,0.2111145555973053,26.188793182373047,31.4338321685791,24.923931121826172,0.6308776235580444,0.6165207393467427,0.6373571991920471
small_DiceCELoss_lr0.0005_wd0.0_bs4,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0,4,0.004973122850060463,0.0086025670170784,0.00477587291970849,44.445556640625,54.537620544433594,43.96595001220703,0.9621814787387848,0.9795745000243187,0.9672465443611145
small_DiceCELoss_lr0.0005_wd0.0_bs5,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,0.0,5,0.03166312351822853,0.05705031007528305,0.020535528659820557,22.426403045654297,25.515972137451172,27.6530818939209,0.8419164180755615,0.8469787444919348,0.8514598533511162
small_DiceCELoss_lr0.0005_wd1e-05_bs1,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,1e-05,1,0.38695380091667175,0.4181748330593109,0.36956438422203064,37.69607925415039,33.32487106323242,33.546688079833984,0.5406123170256615,0.5091372104361653,0.5485398769378662
small_DiceCELoss_lr0.0005_wd1e-05_bs2,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,1e-05,2,0.1858341544866562,0.20268836617469788,0.21259698271751404,40.33516311645508,34.75703048706055,30.429073333740234,0.6316191339492798,0.612638508528471,0.6237282037734986
small_DiceCELoss_lr0.0005_wd1e-05_bs4,small,DiceCELoss,"(4, 8, 16, 32, 64)","(2, 2, 2, 2)",0.0005,1e-05,4,0.03873288258910179,0.058325160294771194,0.030637964606285095,36.236141204833984,41.360984802246094,29.42756462097168,0.9453340929288131,0.9655047625303268,0.9513322532176971
